link;source;created;lastSeen
http://www.dr.dk/nyheder/indland/anton-og-emilie-trodser-handikap-vi-er-lidt-pisseseje;https://www.facebook.com/DRNyheder/;07/05/16 08:35;08/05/16 12:55
http://www.dr.dk/nyheder/indland/arbejdstilsynet-siemens-wind-power-broed-loven-i-ond-tro;https://www.facebook.com/DRNyheder/;08/05/16 17:45;09/05/16 15:45
http://www.dr.dk/nyheder/indland/astma-eksem-og-bylder-moed-de-ansatte-der-er-blevet-syge-af-farlig-kemi-hos-siemens;https://www.facebook.com/DRNyheder/;02/05/16 07:25;03/05/16 05:35
http://www.dr.dk/nyheder/indland/ateisters-busannoncer-virkede-hundrede-danskere-melder-sig-dagligt-ud-af-folkekirken;https://www.facebook.com/DRNyheder/;11/05/16 15:25;12/05/16 10:35
http://www.dr.dk/nyheder/indland/bertel-haarder-kalder-udstilling-om-doede-terrorister-vanvittig;https://www.facebook.com/DRNyheder/;01/05/16 07:15;02/05/16 06:45
http://www.dr.dk/nyheder/indland/betjent-tiltales-lade-indsat-foelge-sit-barns-foedsel;https://www.facebook.com/DRNyheder/;26/05/16 05:35;26/05/16 21:35
http://www.dr.dk/nyheder/indland/beviser-mod-dansk-nazist-er-forsvundet-fra-statens-arkiver;https://www.facebook.com/DRNyheder/;04/05/16 05:05;04/05/16 17:45
http://www.dr.dk/nyheder/indland/bill-gates-fond-donerer-halv-milliard-kvinder-taeller-saa-lad-os-taelle-dem;https://www.facebook.com/DRNyheder/;17/05/16 11:35;18/05/16 10:15
http://www.dr.dk/nyheder/indland/billedserie-65000-deltager-i-karneval-i-aalborg;https://www.facebook.com/DRNyheder/;28/05/16 13:15;29/05/16 15:55
http://www.dr.dk/nyheder/indland/biografer-slippes-fri-til-konkurrere-paa-billetpriser;https://www.facebook.com/DRNyheder/;25/05/16 13:35;26/05/16 12:25
http://www.dr.dk/nyheder/indland/boern-faar-boern-en-million-piger-under-15-aar-bliver-hvert-aar-moedre;https://www.facebook.com/DRNyheder/;17/05/16 05:15;17/05/16 18:25
http://www.dr.dk/nyheder/indland/christine-fra-homohelbredelsen-ingen-har-tvunget-mig-til-noget;https://www.facebook.com/DRNyheder/;12/05/16 09:15;12/05/16 21:25
http://www.dr.dk/nyheder/indland/danmarks-stoerste-sundhedsplatform-taget-i-brug;https://www.facebook.com/DRNyheder/;21/05/16 15:35;22/05/16 18:35
http://www.dr.dk/nyheder/indland/dansk-studie-folk-med-lidt-paa-sidebenene-lever-laengst;https://www.facebook.com/DRNyheder/;11/05/16 05:05;11/05/16 17:05
http://www.dr.dk/nyheder/indland/danske-strande-klarer-sig-flot-i-ny-eu-test-af-badevand;https://www.facebook.com/DRNyheder/;25/05/16 11:15;26/05/16 09:45
http://www.dr.dk/nyheder/indland/dmi-udsender-varsel-risiko-skybrud-soendag;https://www.facebook.com/DRNyheder/;21/05/16 05:45;22/05/16 06:55
http://www.dr.dk/nyheder/indland/dobbelt-saa-mange-overlever-et-hjertestop;https://www.facebook.com/DRNyheder/;30/05/16 09:25;31/05/16 05:25
